id,contract_number,contract_number_sys,ref_contract_type,ref_contract_status,crdate,contract_sum_wnds,supplier,customer,item_id,name,quantity,item_price,total_sum,link
13221869,107,000640002245/210110/00,Основной договор,Действует,2021-08-05 10:36:49,10990000,"ТОО ""СарыаркаАвтоПром""","['ГУ ""Аппарат акима Алматинской области""']",32811143,Автомобиль / Автомобиль,1,10990000,10990000,https://www.goszakup.gov.kz/ru/egzcontract/cpublic/contract/13221869
13221447,106,000640002245/210109/00,Основной договор,Действует,2021-08-05 10:01:03,10990000,"['ТОО ""СарыаркаАвтоПром""']","['ГУ ""Аппарат акима Алматинской области""']",32810504,Автомобиль / Автомобиль,1,10990000,10990000,https://www.goszakup.gov.kz/ru/egzcontract/cpublic/contract/13221447
13221439,105,000640002245/210108/00,Основной договор,Действует,2021-08-05 10:00:18,10990000,"['ТОО ""СарыаркаАвтоПром""']","['ГУ ""Аппарат акима Алматинской области""']",32810494,Автомобиль / Автомобиль,1,10990000,10990000,https://www.goszakup.gov.kz/ru/egzcontract/cpublic/contract/13221439
13193083,104,000640002245/210107/00,Основной договор,Действует,2021-07-29 16:58:24,28150,"ЖК ""АННА""","['ГУ ""Аппарат акима Алматинской области""']",32759646,Маркер / Маркер,10,1365,13650,https://www.goszakup.gov.kz/ru/egzcontract/cpublic/contract/13193083
13193083,104,000640002245/210107/00,Основной договор,Действует,2021-07-29 16:58:24,28150,"ЖК ""АННА""","['ГУ ""Аппарат акима Алматинской области""']",32759646,Маркер / Маркер,10,1365,13650,https://www.goszakup.gov.kz/ru/egzcontract/cpublic/contract/13193083
13193022,103,000640002245/210106/00,Основной договор,Действует,2021-07-29 16:51:53,761040,"ТОО ""Компания ""Copyland"" (Копиленд)","['ГУ ""Аппарат акима Алматинской области""']",32759541,Бумага для офисного оборудования / Кеңсе жабдығына арналған қағаз,500,1522.08,761040,https://www.goszakup.gov.kz/ru/egzcontract/cpublic/contract/13193022
13180361,102,000640002245/210105/00,Основной договор,Действует,2021-07-27 17:29:39,29586555,"ТОО ""Baily group""","['ГУ ""Аппарат акима Алматинской области""']",32736991,Система конференц связи / Конференц-байланыс жүйесі,1,29586555,29586555,https://www.goszakup.gov.kz/ru/egzcontract/cpublic/contract/13180361
13178572,101,000640002245/210104/00,Основной договор,Действует,2021-07-27 14:47:17,247500,"ТОО ""Finn Style""","['ГУ ""Аппарат акима Алматинской области""']",32734102,Работы по устройству (монтажу) пожарной сигнализации/систем тушения / Работы по устройству (монтажу) пожарной сигнализации/систем тушения,1,247500,247500,https://www.goszakup.gov.kz/ru/egzcontract/cpublic/contract/13178572
13173924,100,000640002245/210103/00,Основной договор,Действует,2021-07-26 17:55:44,50450000,"Товарищество с ограниченной ответственностью ""Hyundai Trans Kazakhstan""","['ГУ ""Аппарат акима Алматинской области""']",32725435,Автомобиль / Автомобиль,5,10090000,50450000,https://www.goszakup.gov.kz/ru/egzcontract/cpublic/contract/13173924
13173875,99,000640002245/210102/00,Основной договор,Действует,2021-07-26 17:51:02,151350000,"['Товарищество с ограниченной ответственностью ""Hyundai Trans Kazakhstan""']","['ГУ ""Аппарат акима Алматинской области""']",32725375,Автомобиль / Автомобиль,15,10090000,151350000,https://www.goszakup.gov.kz/ru/egzcontract/cpublic/contract/13173875
13158116,98,000640002245/210101/00,Основной договор,Действует,2021-07-22 16:42:02,249341,Ал-Ар-Ми,"['ГУ ""Аппарат акима Алматинской области""']",32696758,Жалюзи / Пердеше,1,249341,249341,https://www.goszakup.gov.kz/ru/egzcontract/cpublic/contract/13158116
13157840,97,000640002245/210100/00,Основной договор,Действует,2021-07-22 16:23:55,144000,ИП PIXEL,"['ГУ ""Аппарат акима Алматинской области""']",32696257,"Услуги полиграфические по изготовлению/печатанию полиграфической продукции (кроме книг, фото, периодических изданий) / Полиграфиялық өнімдерді (кітаптардан, фотодан, мерзімді басылымдардан басқа) жасау/басып шығару бойынша полиграфиялық қызмет көрсетулер",1,144000,144000,https://www.goszakup.gov.kz/ru/egzcontract/cpublic/contract/13157840
13157439,96,000640002245/210099/00,Основной договор,Действует,2021-07-22 15:56:31,248000,"ИП ""САЯХАТ""","['ГУ ""Аппарат акима Алматинской области""']",32695521,Услуги по чистке одежды/ковровых и аналогичных изделий (кроме прачечных услуг) / Киімдерді/кілем және ұқсас бұйымдарды тазалау (кір жуатын орындардан басқа) бойынша қызмет көрсетулер,1,248000,248000,https://www.goszakup.gov.kz/ru/egzcontract/cpublic/contract/13157439
13157368,95,000640002245/210098/00,Основной договор,Действует,2021-07-22 15:51:57,217123,Golden Rush,"['ГУ ""Аппарат акима Алматинской области""']",32695391,Электростимулятор / Электростимулятор,1,217123,217123,https://www.goszakup.gov.kz/ru/egzcontract/cpublic/contract/13157368
13157268,94,000640002245/210097/00,Основной договор,Действует,2021-07-22 15:47:36,397740,"ТОО ""FORA TRADE ASIA""","['ГУ ""Аппарат акима Алматинской области""']",32695243,Холодильник / Тоңазытқыш,2,198870,397740,https://www.goszakup.gov.kz/ru/egzcontract/cpublic/contract/13157268
